I
1200 Version - data cycle 2609, build 20260904, metadata NavXP1200. OpenAIRAC 1.0.0
 3 38.914436111 -80.099272222  2160 11420  40  -7.000 EKN  ENRT  K6 NARELKINS VORTAC
 3 40.067441667 -107.924950000  7630 11520 130   9.000 EKR  ENRT  K2 NARMEEKER VOR-DME
 3 33.676036111 -117.731091667   338 11720  40  14.000 ELB  ENRT  K2 NAREL TORO VOR-DME
 3 33.256152778 -92.743947222   230 11550 130   7.000 ELD  ENRT  K4 NAREL DORADO VOR-DME
 3 47.024375000 -120.458413889  1771 11790 130  21.000 ELN  ENRT  K1 NARELLENSBURG VOR-DME
 3 31.815911111 -106.281883333  4023 11520 130  12.000 ELP  ENRT  K4 NAREL PASO VORTAC
 3 34.419186111 -82.784683333   736 10860  40   0.000 ELW  ENRT  K7 NARELECTRIC CITY VORTAC
 3 39.298125000 -114.848305556  6248 11395 130  14.000 ELY  ENRT  K2 NARELY VOR-DME
 3 32.400405556 -93.595147222   160 11665  40   7.000 EMG  ENRT  K4 NARELM GROVE VORTAC
 3 39.495008333 -76.978572222   820 11790 130  -8.000 EMI  ENRT  K6 NARWESTMINSTER VORTAC
 3 38.291144444 -96.138111111  1222 11280  40   8.000 EMP  ENRT  K3 NAREMPORIA VORTAC
 3 60.614702778 -151.195241667   115 11760 130  19.000 ENA  ENRT  PA NARKENAI VOR-DME
 3 36.344966667 -97.918355556  1276 11540 130   5.000 END  ENRT  K4 NARVANCE VORTAC
 3 43.425672222 -70.613525000   192 11710 130 -17.000 ENE  ENRT  K6 NARKENNEBUNK VOR-DME
 3 39.053216667 -123.274327778  2985 11230 130  16.000 ENI  ENRT  K2 NARMENDOCINO VORTAC
 3 38.420000000 -89.158997222   546 11500 130   4.000 ENL  ENRT  K5 NARCENTRALIA VORTAC
 3 62.784588889 -164.487533333    17 11780 130  14.000 ENM  ENRT  PA NAREMMONAK VOR-DME
 3 64.590008333 -149.072858333  1601 11580 130  21.000 ENN  ENRT  PA NARNENANA VORTAC
 3 39.231647222 -75.515969444    15 11140  40  -9.000 ENO  ENRT  K6 NARSMYRNA VORTAC
 3 41.269633333 -87.791052778   689 11320  40   2.000 EON  ENRT  K5 NARPEOTONE VORTAC
 3 47.377919444 -119.424002778  1250 11260 130  21.000 EPH  ENRT  K1 NAREPHRATA VORTAC
 3 45.722636111 -87.089597222   594 11355  40   0.000 ESC  ENRT  K5 NARESCANABA VOR-DME
 3 39.225491667 -78.989500000  2590 11080  40  -6.000 ESL  ENRT  K6 NARKESSEL VOR-DME
 3 41.214950000 -78.142755556  2250 11600 130 -10.000 ETG  ENRT  K6 NARKEATING VORTAC
 3 38.040252778 -108.258575000  8460 11695  40  12.000 ETL  ENRT  K2 NARCONES VOR-DME
 3 40.581038889 -75.684030556   741 11020  40  -9.000 ETX  ENRT  K6 NAREAST TEXAS VOR-DME
 3 31.950250000 -85.130480556   284 10920  40   2.000 EUF  ENRT  K7 NAREUFAULA VOR-DME
 3 44.120897222 -123.222830556   364 11290 130  15.000 EUG  ENRT  K1 NAREUGENE VORTAC
 3 41.272488889 -111.046766667  7145 10960  40  13.000 EVW  ENRT  K1 NAREVANSTON VOR-DME
 3 40.824933333 -80.211544444  1227 11580 130  -8.000 EWC  ENRT  K6 NARELLWOOD CITY VOR-DME
 3 31.951786111 -106.272458333  4041 11240  40  12.000 EWM  ENRT  K4 NARNEWMAN VORTAC
 3 35.073141667 -77.045066667    16 11360  40  -8.000 EWN  ENRT  K7 NARNEW BERN VOR-DME
 3 37.631811111 -85.675877778   960 11395  40   1.000 EWO  ENRT  K5 NARNEW HOPE VOR-DME
 3 24.585877778 -81.800477778    10 11350 130   1.000 EYW  ENRT  K7 NARKEY WEST VORTAC
 3 64.800069444 -148.011975000  1526 10860 130  21.000 FAI  ENRT  PA NARFAIRBANKS VORTAC
 3 37.528508333 -77.828219444   460 11330 130  -6.000 FAK  ENRT  K6 NARFLAT ROCK VORTAC
 3 37.673463889 -90.234061111  1222 11570 130   1.000 FAM  ENRT  K3 NARFARMINGTON VORTAC
 3 46.753336111 -96.851319444   909 11620 130   9.000 FAR  ENRT  K3 NARFARGO VOR-DME
 3 34.985550000 -78.875063889   187 11485  40  -4.000 FAY  ENRT  K7 NARFAYETTEVILLE VOR-DME
 3 40.955333333 -83.756025000   823 10820  40  -2.000 FBC  ENRT  K5 NARFLAG CITY VORTAC
 3 41.378438889 -110.424061111  7058 11445  40  14.000 FBR  ENRT  K1 NARFORT BRIDGER VOR-DME
